PLANE_ID,SATELLITES,RAAN,INCLINATION,ARG_OF_PERIGEE,PERIOD,APOGEE,PERIGEE,ARC_BEGIN,ARC_END,SUB_CONSTELLATION,RAAN
362,1,39.4,53,0,5486,345,345,0,360,VLEO,39.4
363,1,39.5,53,0,5486,345,345,0,360,VLEO,39.5
364,1,39.6,53,0,5486,345,345,0,360,VLEO,39.6
365,1,39.8,53,0,5486,345,345,0,360,VLEO,39.8
366,1,39.9,53,0,5486,345,345,0,360,VLEO,39.9
367,1,40.1,53,0,5486,345,345,0,360,VLEO,40.1
368,1,40.2,53,0,5486,345,345,0,360,VLEO,40.2
369,1,40.3,53,0,5486,345,345,0,360,VLEO,40.3
370,1,40.5,53,0,5486,345,345,0,360,VLEO,40.5
371,1,40.6,53,0,5486,345,345,0,360,VLEO,40.6
372,1,40.8,53,0,5486,345,345,0,360,VLEO,40.8
373,1,40.9,53,0,5486,345,345,0,360,VLEO,40.9
374,1,41.1,53,0,5486,345,345,0,360,VLEO,41.1
375,1,41.2,53,0,5486,345,345,0,360,VLEO,41.2
376,1,41.3,53,0,5486,345,345,0,360,VLEO,41.3
377,1,41.5,53,0,5486,345,345,0,360,VLEO,41.5
378,1,41.6,53,0,5486,345,345,0,360,VLEO,41.6
379,1,41.8,53,0,5486,345,345,0,360,VLEO,41.8
380,1,41.9,53,0,5486,345,345,0,360,VLEO,41.9
381,1,42,53,0,5486,345,345,0,360,VLEO,42
382,1,42.2,53,0,5486,345,345,0,360,VLEO,42.2
383,1,42.3,53,0,5486,345,345,0,360,VLEO,42.3
384,1,42.5,53,0,5486,345,345,0,360,VLEO,42.5
385,1,42.6,53,0,5486,345,345,0,360,VLEO,42.6
386,1,42.7,53,0,5486,345,345,0,360,VLEO,42.7
387,1,42.9,53,0,5486,345,345,0,360,VLEO,42.9
388,1,43,53,0,5486,345,345,0,360,VLEO,43
389,1,43.2,53,0,5486,345,345,0,360,VLEO,43.2
390,1,43.3,53,0,5486,345,345,0,360,VLEO,43.3
391,1,43.5,53,0,5486,345,345,0,360,VLEO,43.5
392,1,43.6,53,0,5486,345,345,0,360,VLEO,43.6
393,1,43.7,53,0,5486,345,345,0,360,VLEO,43.7
394,1,43.9,53,0,5486,345,345,0,360,VLEO,43.9
395,1,44,53,0,5486,345,345,0,360,VLEO,44
396,1,44.2,53,0,5486,345,345,0,360,VLEO,44.2
397,1,44.3,53,0,5486,345,345,0,360,VLEO,44.3
398,1,44.4,53,0,5486,345,345,0,360,VLEO,44.4
399,1,44.6,53,0,5486,345,345,0,360,VLEO,44.6
400,1,44.7,53,0,5486,345,345,0,360,VLEO,44.7
401,1,44.9,53,0,5486,345,345,0,360,VLEO,44.9
402,1,45,53,0,5486,345,345,0,360,VLEO,45
403,1,45.2,53,0,5486,345,345,0,360,VLEO,45.2
404,1,45.3,53,0,5486,345,345,0,360,VLEO,45.3
405,1,45.4,53,0,5486,345,345,0,360,VLEO,45.4
406,1,45.6,53,0,5486,345,345,0,360,VLEO,45.6
407,1,45.7,53,0,5486,345,345,0,360,VLEO,45.7
408,1,45.9,53,0,5486,345,345,0,360,VLEO,45.9
409,1,46,53,0,5486,345,345,0,360,VLEO,46
410,1,46.1,53,0,5486,345,345,0,360,VLEO,46.1
411,1,46.3,53,0,5486,345,345,0,360,VLEO,46.3
412,1,46.4,53,0,5486,345,345,0,360,VLEO,46.4
413,1,46.6,53,0,5486,345,345,0,360,VLEO,46.6
414,1,46.7,53,0,5486,345,345,0,360,VLEO,46.7
415,1,46.8,53,0,5486,345,345,0,360,VLEO,46.8
416,1,47,53,0,5486,345,345,0,360,VLEO,47
417,1,47.1,53,0,5486,345,345,0,360,VLEO,47.1
418,1,47.3,53,0,5486,345,345,0,360,VLEO,47.3
419,1,47.4,53,0,5486,345,345,0,360,VLEO,47.4
420,1,47.5,53,0,5486,345,345,0,360,VLEO,47.5
421,1,47.7,53,0,5486,345,345,0,360,VLEO,47.7
422,1,47.8,53,0,5486,345,345,0,360,VLEO,47.8
423,1,48,53,0,5486,345,345,0,360,VLEO,48
424,1,48.1,53,0,5486,345,345,0,360,VLEO,48.1
425,1,48.3,53,0,5486,345,345,0,360,VLEO,48.3
